sampleID,name,xsec,path
0,DYJetsToLL,3531.15,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball/AODSIM/PU_RD1_START53_V7N-v1/*0*/
1,TTJets_SemiLeptMGDecays,106.15,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/TTJets_SemiLeptMGDecays_8TeV-madgraph/AODSIM/PU_RD1_START53_V7N-v1/*0*/
2,TTJets_FullLeptMGDecays,26.80,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/TTJets_FullLeptMGDecays_8TeV-madgraph/AODSIM/PU_RD1_START53_V7N-v1/*0*/
3,T_tW-channel,11.1,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/T_tW-channel-DR_TuneZ2star_8TeV-powheg-tauola/AODSIM/PU_S10_START53_V7A-v1/0000/
4,Tbar_tW-channel,11.1,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/Tbar_tW-channel-DR_TuneZ2star_8TeV-powheg-tauola/AODSIM/PU_S10_START53_V7A-v1/0000/
5,WWJetsTo2L2Nu,5.8123,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/WWJetsTo2L2Nu_TuneZ2star_8TeV-madgraph-tauola/AODSIM/PU_RD1_START53_V7N-v1/10000/
6,WZJetsTo2L2Q,2.206,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/WZJetsTo2L2Q_TuneZ2star_8TeV-madgraph-tauola/AODSIM/PU_RD1_START53_V7N-v1/10000/
7,WZJetsTo3LNu,1.0575,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/WZJetsTo3LNu_8TeV_TuneZ2Star_madgraph_tauola/AODSIM/PU_S10_START53_V19-v1/*0*/
8,ZZTo4mu,0.019656,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/ZZTo4mu_8TeV-powheg-pythia6/AODSIM/PU_RD1_START53_V7N-v1/20000/
9,ZZTo2e2mu,0.039313,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/ZZTo2e2mu_8TeV-powheg-pythia6/AODSIM/PU_RD1_START53_V7N-v2/10000/
10,ZZTo2mu2tau,0.039313,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/ZZTo2mu2tau_8TeV-powheg-pythia6/AODSIM/PU_RD1_START53_V7N-v1/20000/
11,W1JetsToLNu,6663,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/W1JetsToLNu_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V19-v1/*0*/
12,W2JetsToLNu,2159,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/W2JetsToLNu_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V19-v1/*0*/
13,W3JetsToLNu,640,root://eospublic.cern.ch//eos/opendata/cms/MonteCarlo2012/Summer12_DR53X/W3JetsToLNu_TuneZ2Star_8TeV-madgraph/AODSIM/PU_S10_START53_V19-v1/*0*/
100,SingleMu_Run2012B,1,root://eospublic.cern.ch//eos/opendata/cms/Run2012B/SingleMu/AOD/22Jan2013-v1/*0*/
101,SingleMu_Run2012C,1,root://eospublic.cern.ch//eos/opendata/cms/Run2012C/SingleMu/AOD/22Jan2013-v1/*0*/
